,alpha,heuristic,inductive,ILP,split
inst97,0.8036416769697758,1.0,1.0,1.0,0.8332471619647193
inst98,0.9993886035705553,0.9985326485693323,1.0,1.0,0.0013450721447786746
inst99,0.9153258852919015,0.9998727845196935,1.0,1.0,0.9073451750103526
inst100,0.9069489717637036,0.9659912111395159,1.0,1.0,0.9143897276799531
inst101,0.9992913832199545,0.9974489795918368,1.0,1.0,0.0015589569160997733
inst102,0.9990592662276576,1.0,1.0,1.0,0.0021950454687989967
inst103,0.8686360790864216,0.9999486784706185,1.0,1.0,0.9184999362539751
inst104,0.8997106024730283,0.9995677829142707,1.0,1.0,0.8571365931271339
inst105,0.8807175816770475,0.9990401038464168,1.0,1.0,0.7614085878254006
inst106,0.7628662815456315,0.9998239243069086,1.0,1.0,0.9111768827578451
inst107,0.8784774441071672,0.9835347153606214,1.0,1.0,0.8926243820663983
inst108,0.9994490358126721,0.9995867768595039,1.0,1.0,0.6667906336088063
inst109,0.7338849529449181,1.0,1.0,1.0,0.8800305644680289
inst110,0.8030156094136538,1.0,1.0,1.0,0.8478905208577997
inst111,0.8750248262164846,1.0,1.0,1.0,0.5001655081098973
inst112,0.8711818715635427,1.0,1.0,1.0,0.8888034654065378
inst113,0.9995534717570885,0.999330207635633,1.0,1.0,0.0011163206072784104
inst114,0.9988662131519273,0.999244142101285,1.0,1.0,0.002393550012597632
inst115,0.7148851939825632,0.9987026982870213,1.0,1.0,0.8570699644333967
inst116,0.833415032679749,0.9998366013071894,1.0,1.0,0.8409582084582049
inst117,0.9996200607902735,1.0,1.0,1.0,0.6661600810536867
inst118,0.6923433416195941,0.9999423257155217,1.0,1.0,0.953842384636411
inst119,0.8336963536624826,0.9980638915779284,1.0,1.0,0.000484027105517909
inst120,0.7737329853310378,0.9995139714843692,1.0,1.0,0.8263016713988208
inst121,0.9995251661918328,0.9998100664767331,1.0,1.0,0.5005539727761951
inst122,0.8569627658242039,0.9994313057207962,1.0,1.0,0.9046607812497225
inst123,0.9297794036029362,1.0,1.0,1.0,0.8720886300751217
inst124,0.8232705520018965,0.9996890547263682,1.0,1.0,0.8318625128326548
inst125,0.8358638269549248,0.9999188766415656,1.0,1.0,0.9258324207500568
inst126,0.999096657633243,0.9992773261065943,1.0,1.0,0.6669978922011378
inst127,0.7144982993197107,1.0,1.0,1.0,0.8924981347566551
inst128,0.999686422075886,0.9990592662276576,1.0,1.0,0.0006271558482282848
inst129,1.0,1.0,1.0,1.0,0.0
inst130,0.8335144927536368,0.9991304347826087,1.0,1.0,0.0004347826086956522
inst131,0.9987201365187713,1.0,1.0,1.0,0.00270193401592719
inst132,0.8438871010767702,1.0,1.0,1.0,0.8378751506353602
inst133,0.7669315878544654,0.9601845041256001,1.0,1.0,0.9046888101300564
inst134,0.664539049330176,0.9999026195345214,1.0,1.0,0.8607376989308801
inst135,0.8112056443572178,0.9997360557514365,1.0,1.0,0.9092880159403777
inst136,0.6717708978784834,1.0,1.0,1.0,0.805123568414709
inst137,0.7341911457025779,0.999890158172232,1.0,1.0,0.833194200351507
inst138,0.9995805369127518,1.0,1.0,1.0,0.0009787472035794184
inst139,0.7547661053958713,1.0,1.0,1.0,0.8189964255422174
inst140,0.5483750896284096,0.999746931544983,1.0,1.0,0.855587838675555
inst141,0.6673593594741168,0.999581199521007,1.0,1.0,0.8570116436087659
inst142,0.8335087719298271,0.999859649122807,1.0,1.0,0.6667602339181152
inst143,0.5975326256777875,0.9998975934459806,1.0,1.0,0.8541321536747422
inst144,0.8334590246355037,0.9996983408748114,1.0,1.0,0.6666163901457903
inst145,0.8885144266625415,0.9984983883566483,1.0,1.0,0.8633994199255587
inst146,0.8689927389395335,0.9997783687943262,1.0,1.0,0.8632222362940501
inst147,0.9992670771034888,0.9982409850483729,1.0,1.0,0.0016124303723248315
inst148,0.9994374120956399,1.0,1.0,1.0,0.0011251758087201125
inst149,0.8296802356826157,0.9997798908258496,1.0,1.0,0.85099850954645
inst150,0.8239918084435973,0.9997074444144387,1.0,1.0,0.7997389504005631
inst151,0.7999893853288695,0.998874300520391,1.0,1.0,0.8888912394571026
inst152,0.8340759075907694,0.9998585572842998,1.0,1.0,0.8380932324001595
inst153,0.8154864251090523,0.9126053068411201,1.0,1.0,0.9106574427480202
inst154,0.8335148874364615,0.999757927862503,1.0,1.0,0.7499394819656257
inst155,0.6686799719887823,0.9997373949579832,1.0,1.0,0.8330940709617205
inst156,0.9997217584863662,0.9998330550918196,1.0,1.0,0.5003478018920423
inst157,0.8463963004691805,0.9858912162025297,1.0,1.0,0.9426378319343347
inst158,0.7431028282501234,0.9999181669394436,1.0,1.0,0.9035319733458028
inst159,0.9994571118349619,1.0,1.0,1.0,0.0013572204125950054
inst160,0.7694777617775561,0.9998323798758618,1.0,1.0,0.9417710177057106
inst161,0.6678016726403696,0.9998805256869773,1.0,1.0,0.6662843488649813
inst162,0.7885355061783613,0.9997116950417728,1.0,1.0,0.9039652235897481
