log,no_distinct_traces,no_total_traces,avg_trace_length,avg_event_repetition_intra_trace,no_distinct_events,no_events_total,no_distinct_start,no_distinct_end,density,length_one_loops,total_no_activities,percentage_concurrency,percentage_sequence,dfg_mean_variable_degree,dfg_variation_coefficient_variable_degree,dfg_min_variable_degree,dfg_max_variable_degree,dfg_entropy_variable_degree,dfg_wcc_min,dfg_wcc_max
2878996361,8.0,1286.0,0.020995334370139968,0.0007776049766718507,9.0,3861.0,1.0,5.0,0.25925925925925924,0.1111111111111111,9,0.012345679012345678,0.12345679012345678,3.090909090909091,0.6389870877176598,1,8,2.222139510189592,0.00044819880168032875,0.00044819880168032875
1292086060,2.0,1064.0,0.0018796992481203006,0.0,2.0,1064.0,2.0,2.0,0.0,0.0,2,0.0,0.0,2.0,0.0,2,2,1.3862943611198906,0.0,0.0
1787719965,20.0,1168.0,0.21575342465753425,2.8047945205479454,21.0,10336.0,1.0,3.0,0.15192743764172337,0.047619047619047616,21,0.0022675736961451248,0.07482993197278912,3.3043478260869565,0.721887722333958,1,11,2.9291222440680302,0.0002219193143032315,0.0002219193143032315
2705412886,16.0,1263.0,0.07442596991290577,1.3436262866191608,14.0,6105.0,4.0,4.0,0.14795918367346939,0.07142857142857142,14,0.025510204081632654,0.07142857142857142,3.375,0.7969420293092597,2,13,2.5549991465959847,0.0,0.0
691386623,41.0,1272.0,0.4229559748427673,0.0015723270440251573,39.0,16541.0,1.0,2.0,0.09401709401709402,0.02564102564102564,39,0.009861932938856016,0.042077580539119,4.0,0.8058475314241764,1,13,3.4431931986951816,0.008048876859426311,0.008048876859426311
3802732631,13.0,1129.0,0.07528786536758193,1.3888396811337467,11.0,5518.0,2.0,1.0,0.2066115702479339,0.09090909090909091,11,0.05785123966942149,0.09090909090909091,3.230769230769231,0.769309258162072,1,10,2.3309885875580916,0.0007587748214667159,0.0007587748214667159
3385639942,35.0,1107.0,0.42276422764227645,0.5004516711833785,25.0,13840.0,2.0,1.0,0.1648,0.04,25,0.0368,0.064,4.888888888888889,0.7005015912464744,1,13,3.062105697924692,0.019745552009805073,0.019745552009805073
91191529,5.0,1125.0,0.013333333333333334,0.0,7.0,3375.0,2.0,1.0,0.3673469387755102,0.0,7,0.0,0.1836734693877551,2.6666666666666665,0.5,1,5,2.0813168388502463,0.0,0.0
1341268138,9.0,1138.0,0.03427065026362039,0.0008787346221441124,11.0,4555.0,3.0,2.0,0.2396694214876033,0.09090909090909091,11,0.008264462809917356,0.11570247933884298,3.076923076923077,0.6174544517614234,2,8,2.4087353334374146,0.0008019582444720423,0.0008019582444720423
1026666400,16.0,1428.0,0.04971988795518207,0.0021008403361344537,17.0,5720.0,1.0,4.0,0.18685121107266436,0.11764705882352941,17,0.006920415224913495,0.08996539792387544,3.473684210526316,0.8829577142020281,1,13,2.6537594560010724,0.001087114237019608,0.001087114237019608
